State,District,Latitude,Longitude,District code,Population,sex_ratio,literacy_rate,Hindu_pct,Muslims_pct,Christians_pct,Male_literacy_rate,Female_literacy_rate,Male_pct,Female_pct,Internet_pct,Electricity_pct,Gender_literacy_gap,Workers_pct,Non_workers_pct,Urban_pct,Rural_pct
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,95.12,61.79,38.1,60.31,1.29,67.13,56.17,51.25,48.75,0.69,25.16,10.96,32.5,67.5,9.24,90.76
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,96.16,72.78,92.31,5.01,1.93,77.65,67.72,50.98,49.02,1.54,33.25,9.93,45.65,54.35,22.01,77.99
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,94.94,65.59,57.82,39.66,2.19,70.68,60.22,51.3,48.7,0.72,28.13,10.46,41.45,58.55,10.09,89.91
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,95.1,58.27,80.1,2.12,16.5,64.11,52.12,51.26,48.74,0.76,21.32,11.99,40.1,59.9,14.7,85.3
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,96.32,64.73,42.48,56.36,0.98,69.65,59.61,50.94,49.06,0.66,24.08,10.04,32.49,67.51,11.1,88.9
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,95.88,55.16,59.64,28.44,11.4,60.77,49.3,51.05,48.95,0.55,18.64,11.47,38.45,61.55,7.71,92.29
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,96.75,65.59,76.49,18.57,4.43,70.9,60.09,50.83,49.17,0.59,18.39,10.81,41.26,58.74,10.58,89.42
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,96.22,60.58,43.39,55.36,0.95,64.06,56.97,50.96,49.04,0.64,24.48,7.09,34.71,65.29,15.54,84.46000000000001
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,94.86,68.91,63.71,35.96,0.06,74.04,63.52,51.32,48.68,0.68,28.59,10.52,34.68,65.32,11.82,88.18
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,95.56,57.61,73.95,18.22,7.18,63.07,51.91,51.14,48.86,0.8,24.34,11.16,40.05,59.95,11.78,88.22
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,95.22,60.12,88.96,3.64,5.79,66.66,53.25,51.22,48.78,1.35,42.38,13.41,41.96,58.04,23.82,76.18
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,92.13,42.53,56.68,42.95,0.15,49.73,34.72,52.05,47.95,0.36,6.16,15.01,38.05,61.95,6.29,93.71
